job_title,company_name,location,job_type,job_location_type,experence_level,experence_years,job_category,skills_required
Spare Parts Manager,Babgi Company ,"Jeddah, Saudi Arabia",Full Time,On-site,Manager,5 - 15 Yrs of Exp, Logistics/Supply Chain,parts - Automotive - sales skills - Spare Parts
EHS - Safety Officer,alfanar ,"Jeddah, Saudi Arabia",Full Time,On-site,Experienced,5 - 12 Yrs of Exp, Engineering - Construction/Civil/Architecture,"Nebosh - IGC - Communication skills - Engineering - Safety - EHS - Health, Safety and Environment - Environment, Health, and Safety (EHS)"
Flutter Developer,Royal Cyber ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5 - 10 Yrs of Exp, IT/Software Development,Dart - flutter - Android - iOS - APIs - Flutter Developer - Mobile Development
Sales Account Manager,Finiex Soft  ,"Jeddah, Saudi Arabia",Full Time,On-site,Manager,3 - 5 Yrs of Exp, Business Development,business - Sales - Sales Target - Software - Customer Service - Account Management - Communication
Sales Account Manager,OdooTec ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,1 - 3 Yrs of Exp, Customer Service/Support,calls - Customer Service - sales skills - Sales - Telesales - English - business - ERP
HR Officer,alnajleen ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,5+ Yrs of Exp, Administration,Benefits - Communication - Human Resources (HR) - Microsoft Office - Recruitment - Training - Personnel
Asp.Net Developer,Royal Cyber ,"Riyadh, Saudi Arabia",Full Time,On-site,Experienced,4 - 10 Yrs of Exp, Accounting/Finance,.Net - Dot Net - ASP.Net - .Net core - SQL - Identity Server - MVC
Interior And Exterior Designer,wstudio ,"Madina, Saudi Arabia",Full Time,Remote,Experienced,3+ Yrs of Exp, Engineering - Construction/Civil/Architecture,Corona - 3ds Max - AutoCAD - photoshop - 3D - architectural - Architecture - Design
Software Tester / QA Engineer - Remote,Guestna ,"Riyadh, Saudi Arabia",Full Time,Remote,Experienced,3 - 7 Yrs of Exp, IT/Software Development,React - Node.js - Automation Testing - Quality Assurance
Field Sales,Yallaplus ,"Riyadh, Saudi Arabia",Part Time,Hybrid,Entry Level,0 - 3 Yrs of Exp, Sales/Retail,Sales - field sales - sales skills - Sales Target - Customer Service - Account Management - Beverage - Communication - Communication skills
